year,tonnes,value_usd,exp_usd,loss_share_pct,value_lost_bln,mt_lost
1992,0.0,0.0,19937140134.45198,0.0,0.0,0.0
1993,0.0,0.0,11270613668.311007,0.0,0.0,0.0
1994,4487268.8737477865,387009135.1255269,5720083996.27356,6.765794617310695,0.3870091351255269,4.487268873747786
1995,14994332.649585322,1127840800.9207077,6308225871.663166,17.87889057662027,1.1278408009207077,14.994332649585322
1996,6124377.690508119,680948270.9353442,8363168957.679215,8.142227837093797,0.6809482709353443,6.124377690508119
1997,0.0,0.0,7570200337.626978,0.0,0.0,0.0
1998,11386577.25731441,606689625.3005204,3021012630.0805206,20.08232667614998,0.6066896253005204,11.38657725731441
1999,6257817.060566252,327043646.0139458,3147265254.816946,10.39135946718821,0.3270436460139458,6.257817060566252
2000,3396875.0127492473,264557470.82369936,4714704930.994337,5.611326152873449,0.26455747082369935,3.396875012749247
2001,439407.55233121,49257586.61632864,5089173631.117063,0.9678896847839855,0.04925758661632864,0.43940755233121
2002,24014.715833708753,2288602.418952444,3984039177.366789,0.05744427494473268,0.002288602418952444,0.024014715833708754
2003,3828758.3113511107,302089030.76560265,4656270846.3697815,6.487789064098871,0.3020890307656027,3.8287583113511108
2004,1436782.7816025466,124959289.9812115,7655902479.923441,1.6321954244963306,0.1249592899812115,1.4367827816025465
2005,3857678.66458351,340852700.83440864,6901413506.279804,4.938882455373186,0.34085270083440866,3.85767866458351
2006,3327993.8081032713,357548205.60737073,8407907246.277565,4.2525231919710835,0.3575482056073707,3.327993808103271
2007,1664575.423584832,310989273.157632,13736281627.232765,2.2639989598137134,0.310989273157632,1.664575423584832
2008,0.0,0.0,17860797991.986664,0.0,0.0,0.0
2009,354748.8471226538,48742491.59465263,11155196519.411863,0.43694874859293364,0.04874249159465263,0.3547488471226538
2010,9810556.896533273,1234420997.1795478,8491992761.456579,14.53629356330039,1.234420997179548,9.810556896533273
2011,0.0,0.0,14837090057.295147,0.0,0.0,0.0
2012,14743783.485511666,2961245543.155453,16180264564.055073,18.30158914542069,2.9612455431554534,14.743783485511667
2013,5028199.630901807,1040766907.5655977,18643618086.02727,5.582429884388242,1.0407669075655976,5.028199630901807
2014,829261.0841520821,120796273.03662544,16076233868.652328,0.7513965896712337,0.12079627303662545,0.8292610841520821
2015,3936903.9718083777,525233666.50778544,13761559484.767561,3.8166725732585594,0.5252336665077855,3.936903971808378
2016,248877.29180543713,28720439.474347446,13769544308.00578,0.2085794477428642,0.028720439474347447,0.24887729180543713
2017,448609.05731910176,54057391.40695176,13717753896.309555,0.3940688236249424,0.05405739140695176,0.4486090573191018
2018,3490209.4030904295,450897308.25207424,14536011115.86478,3.1019328800592305,0.45089730825207425,3.4902094030904296
2019,4217526.407840788,659837487.4193263,18208920612.360413,3.6237045647363715,0.6598374874193264,4.217526407840788
2020,1036946.6032992799,152241662.23032314,20076572046.30901,0.7583050626330011,0.15224166223032315,1.03694660329928
2021,10887212.385651888,2034740922.2016268,23546119886.561756,8.641512622905205,2.034740922201627,10.887212385651889
2022,0.0,0.0,24508421864.98314,0.0,0.0,0.0
